name,kana,lat,lng,closed
南清水沢,みなみしみずさわ,42.985272,142.006597,1
清水沢,しみずさわ,42.99827,142.007285,1
鹿ノ谷,しかのたに,43.039447,141.964476,1
夕張,ゆうばり,43.050926,141.967472,1
占冠,しむかっぷ,42.993088,142.400078,0
トマム,とまむ,43.055913,142.610937,0
勇払,ゆうふつ,42.632805,141.727667,0
浜厚真,はまあつま,42.606725,141.837071,0
浜田浦,はまたうら,42.590722,141.88362,1
鵡川,むかわ,42.578953,141.923892,0
汐見,しおみ,42.550235,141.945255,1
富川,とみかわ,42.516865,142.020855,1
日高門別,ひだかもんべつ,42.481237,142.072692,1
豊郷,とよさと,42.470119,142.122493,1
清畠,きよはた,42.455709,142.176624,1
厚賀,あつが,42.430507,142.215896,1
大狩部,おおかりべ,42.395695,142.259355,1
節婦,せっぷ,42.38248,142.275541,1
新冠,にいかっぷ,42.360667,142.312585,1
静内,しずない,42.336559,142.360402,1
東静内,ひがししずない,42.304416,142.450485,1
春立,はるたち,42.268515,142.498943,1
日高東別,ひだかとうべつ,42.280837,142.521371,1
日高三石,ひだかみついし,42.247269,142.566859,1
蓬栄,ほうえい,42.264636,142.604517,1
本桐,ほんきり,42.248205,142.630455,1
荻伏,おぎふし,42.206136,142.689432,1
絵笛,えふえ,42.198428,142.736134,1
浦河,うらかわ,42.168366,142.769976,1
東町,ひがしちょう,42.156037,142.788931,1
日高幌別,ひだかほろべつ,42.142338,142.834519,1
鵜苫,うとま,42.134449,142.882513,1
西様似,にしさまに,42.138411,142.908737,1
様似,さまに,42.127936,142.93596,1
八軒,はちけん,43.085845,141.319145,0
新川,しんかわ,43.098604,141.323824,0
新琴似,しんことに,43.112928,141.335105,0
太平,たいへい,43.12401,141.349526,0
百合が原,ゆりがはら,43.131476,141.360672,0
篠路,しのろ,43.145152,141.364323,0
拓北,たくほく,43.155568,141.381013,0
あいの里教育大,あいのさときょういくだい,43.15528,141.39842,0
あいの里公園,あいのさとこうえん,43.161206,141.413276,0
ロイズタウン,ろいずたうん,43.179589,141.436236,0
太美,ふとみ,43.189801,141.449066,0
当別,とうべつ,43.22208,141.513764,0
北海道医療大学,ほっかいどういりょうだいがく,43.230925,141.54995,0
石狩金沢,いしかりかなざわ,43.245385,141.569239,1
本中小屋,もとなかごや,43.28019,141.591661,1
中小屋,なかごや,43.306846,141.602341,1
月ヶ岡,つきがおか,43.324867,141.61807,1
知来乙,ちらいおつ,43.331545,141.649123,1
石狩月形,いしかりつきがた,43.340869,141.670193,1
豊ヶ岡,とよがおか,43.366645,141.714026,1
札比内,さっぴない,43.370926,141.742762,1
晩生内,おそきない,43.399921,141.779211,1
札的,さってき,43.419153,141.803549,1
浦臼,うらうす,43.430964,141.817376,1
鶴沼,つるぬま,43.457673,141.840637,1
於札内,おさつない,43.473424,141.840102,1
南下徳富,みなみしもとっぷ,43.485542,141.844454,1
下徳富,しもとっぷ,43.50271,141.855574,1
新十津川,しんとつかわ,43.545575,141.874172,1
北一已,きたいちやん,43.742021,142.014721,1
秩父別,ちっぷべつ,43.769099,141.967757,1
北秩父別,きたちっぷべつ,43.789375,141.960915,1
石狩沼田,いしかりぬまた,43.810032,141.934266,1
真布,まっぷ,43.832965,141.906756,1
恵比島,えびしま,43.851296,141.88144,1
峠下,とうげした,43.850789,141.818879,1
幌糠,ほろぬか,43.855521,141.758418,1
